t,o,h,l,c
1636676700,1.14466,1.14466,1.14418,1.14418
1636677000,1.14417,1.14431,1.14417,1.14425
1636677300,1.14426,1.14461,1.14422,1.14457
1636677600,1.14456,1.14456,1.14442,1.14445
1636677900,1.14447,1.14459,1.14446,1.14454
1636678200,1.14453,1.14457,1.14431,1.14435
1636678500,1.14434,1.14443,1.14403,1.14406
1636678800,1.14404,1.14427,1.14381,1.14396
1636679100,1.14396,1.14407,1.14392,1.144
1636679400,1.14401,1.14421,1.14372,1.14381
1636679700,1.14382,1.14402,1.14376,1.14376
1636680000,1.14377,1.14387,1.14375,1.14377
1636680300,1.14376,1.14378,1.14366,1.14368
1636680600,1.14367,1.14378,1.14361,1.14363
1636680900,1.14366,1.14366,1.14357,1.14358
1636681200,1.14359,1.14387,1.14357,1.14387
1636681500,1.14386,1.14387,1.14367,1.14373
1636681800,1.14376,1.14377,1.14361,1.14366
1636682100,1.14364,1.14389,1.14361,1.14384
1636682400,1.14383,1.14389,1.14381,1.14387
1636682700,1.14387,1.14389,1.14369,1.14382
1636683000,1.14383,1.14392,1.14372,1.14373
1636683300,1.14374,1.14382,1.14372,1.14374
1636683600,1.14374,1.14374,1.14358,1.14368
1636683900,1.14369,1.14382,1.14368,1.1438
1636684200,1.14378,1.14387,1.14368,1.14383
1636684500,1.14381,1.14385,1.14373,1.14378
1636684800,1.14378,1.14396,1.14378,1.14393
1636685100,1.14395,1.14414,1.14393,1.1441
1636685400,1.14411,1.14424,1.14408,1.14408
1636685700,1.14406,1.14409,1.14402,1.14403
1636686000,1.14402,1.14402,1.14366,1.14368
1636686300,1.14369,1.14374,1.14363,1.14368
1636686600,1.1437,1.14383,1.1437,1.14381
1636686900,1.14382,1.14394,1.14378,1.14391
1636687200,1.14392,1.14392,1.1438,1.1438
1636687500,1.14378,1.14385,1.14374,1.1438
1636687800,1.14378,1.1439,1.14373,1.14389
1636688100,1.14387,1.14399,1.14385,1.14389
1636688400,1.14389,1.14396,1.14387,1.14391
1636688700,1.1439,1.14393,1.14386,1.14387
1636689000,1.14386,1.14393,1.14381,1.14387
1636689300,1.14387,1.14389,1.14383,1.14389
1636689600,1.14387,1.14387,1.14378,1.1438
1636689900,1.14378,1.14383,1.14371,1.14373
1636690200,1.14372,1.14378,1.14372,1.14375
1636690500,1.14374,1.14384,1.14373,1.14384
1636690800,1.14384,1.1439,1.14384,1.1439
1636691100,1.14389,1.1439,1.14385,1.14389
1636691400,1.14391,1.14396,1.14389,1.1439
1636691700,1.14387,1.14398,1.14387,1.14395
1636692000,1.14396,1.14398,1.14384,1.14395
1636692300,1.14394,1.14396,1.14385,1.14389
1636692600,1.1439,1.14399,1.14383,1.14387
1636692900,1.14387,1.14413,1.14383,1.14413
1636693200,1.14414,1.14414,1.1439,1.1439
1636693500,1.14389,1.144,1.14387,1.14399
1636693800,1.14398,1.14399,1.14387,1.14394
1636694100,1.14395,1.144,1.14393,1.14399
1636694400,1.14398,1.14402,1.14391,1.14399
1636694700,1.14399,1.14409,1.14392,1.14404
1636695000,1.14403,1.14422,1.14403,1.14417
1636695300,1.14416,1.14426,1.1441,1.14424
1636695600,1.14422,1.14429,1.14414,1.14424
1636695900,1.14426,1.14429,1.14418,1.14425
1636696200,1.14425,1.14435,1.14423,1.14429
1636696500,1.14431,1.14439,1.14425,1.14434
1636696800,1.14433,1.14439,1.1442,1.14425
1636697100,1.14427,1.14428,1.14411,1.14417
1636697400,1.14416,1.14418,1.14408,1.14409
1636697700,1.1441,1.14416,1.14401,1.14416
1636698000,1.14417,1.14421,1.14413,1.14415
1636698300,1.14414,1.1443,1.14413,1.1442
1636698600,1.14419,1.14435,1.14418,1.14428
1636698900,1.14429,1.14444,1.14429,1.1444
1636699200,1.14438,1.14447,1.14437,1.14445
1636699500,1.14447,1.14449,1.14437,1.14442
1636699800,1.14443,1.1445,1.14442,1.14449
1636700100,1.14449,1.14452,1.14446,1.14449
1636700400,1.14446,1.14448,1.14414,1.14419
1636700700,1.14417,1.14438,1.14409,1.14438
1636701000,1.14437,1.14439,1.14412,1.14418
1636701300,1.14417,1.14449,1.14414,1.14448
1636701600,1.14446,1.14466,1.14435,1.14461
1636701900,1.14459,1.14471,1.14444,1.14457
1636702200,1.14457,1.14496,1.14449,1.14494
1636702500,1.14493,1.14497,1.14481,1.14494
1636702800,1.14495,1.14541,1.14493,1.1454
1636703100,1.14539,1.14542,1.14519,1.14519
1636703400,1.14521,1.14557,1.1451,1.14553
1636703700,1.1455,1.1455,1.14498,1.14503
1636704000,1.14504,1.14523,1.14474,1.1449
1636704300,1.14491,1.14494,1.14444,1.14449
1636704600,1.14451,1.1447,1.14442,1.14442
1636704900,1.14438,1.14468,1.14428,1.14468
1636705200,1.14466,1.14475,1.14453,1.14453
1636705500,1.14449,1.1446,1.14437,1.1446
1636705800,1.14456,1.14501,1.14446,1.14499
1636706100,1.145,1.14503,1.1444,1.14452
1636706400,1.14452,1.14517,1.14442,1.14505
1636706700,1.14503,1.14545,1.14481,1.14517
1636707000,1.14513,1.14536,1.14493,1.1453
1636707300,1.14532,1.14549,1.14522,1.14536
1636707600,1.14536,1.1454,1.14473,1.14474
1636707900,1.14475,1.14482,1.1443,1.1444
1636708200,1.1444,1.14459,1.14433,1.14433
1636708500,1.14434,1.14434,1.14387,1.14428
1636708800,1.14427,1.14444,1.14383,1.14434
1636709100,1.1443,1.1444,1.14418,1.1444
1636709400,1.14439,1.14439,1.14398,1.14408
1636709700,1.14409,1.1442,1.144,1.14415
1636710000,1.14414,1.14418,1.14376,1.14378
1636710300,1.14377,1.14437,1.14371,1.14424
1636710600,1.14425,1.14448,1.14422,1.14444
1636710900,1.14445,1.1445,1.14421,1.14421
1636711200,1.14422,1.14422,1.14372,1.14378
1636711500,1.1438,1.14408,1.14371,1.14396
1636711800,1.14399,1.14414,1.14384,1.14405
1636712100,1.14407,1.14433,1.14406,1.1443
1636712400,1.14429,1.14453,1.14429,1.1445
1636712700,1.14449,1.14473,1.14443,1.14459
1636713000,1.14461,1.14484,1.14456,1.14477
1636713300,1.14475,1.1448,1.14454,1.14457
1636713600,1.14459,1.1446,1.14438,1.14444
1636713900,1.14443,1.14449,1.14425,1.14429
1636714200,1.14431,1.14443,1.14417,1.14434
1636714500,1.14435,1.14445,1.14408,1.14412
1636714800,1.14413,1.14422,1.14399,1.14405
1636715100,1.14404,1.14439,1.144,1.14436
1636715400,1.14435,1.14457,1.14417,1.14418
1636715700,1.14416,1.14422,1.14389,1.14393
1636716000,1.14394,1.14418,1.1439,1.14399
1636716300,1.14398,1.14445,1.14393,1.14438
1636716600,1.14437,1.14474,1.14436,1.14457
1636716900,1.14459,1.14498,1.14456,1.14498
1636717200,1.14499,1.14516,1.14481,1.14515
1636717500,1.14514,1.14523,1.14496,1.14498
1636717800,1.14498,1.14514,1.14495,1.14499
1636718100,1.145,1.14506,1.14486,1.14494
1636718400,1.14494,1.14501,1.14475,1.14495
1636718700,1.14494,1.14495,1.14466,1.14466
1636719000,1.14466,1.14479,1.14459,1.14473
1636719300,1.1447,1.1453,1.14466,1.1453
1636719600,1.14531,1.14545,1.14514,1.14519
1636719900,1.14517,1.14543,1.14513,1.14535
1636720200,1.14534,1.14549,1.14518,1.14523
1636720500,1.14524,1.14531,1.14496,1.14496
1636720800,1.14495,1.14496,1.14471,1.14479
1636721100,1.14478,1.14484,1.14463,1.14477
1636721400,1.14475,1.14501,1.14455,1.14497
1636721700,1.14496,1.14496,1.1446,1.14473
1636722000,1.14472,1.14487,1.14461,1.14473
1636722300,1.14472,1.14492,1.14468,1.14491
1636722600,1.14492,1.14501,1.14472,1.14474
1636722900,1.14475,1.14481,1.1445,1.1447
1636723200,1.14469,1.14477,1.14461,1.14473
1636723500,1.14473,1.14532,1.14471,1.14505
1636723800,1.14507,1.14514,1.14485,1.14494
1636724100,1.14492,1.14499,1.14461,1.14472
1636724400,1.14471,1.14484,1.14447,1.14461
1636724700,1.14462,1.14483,1.14462,1.14475
1636725000,1.14475,1.14486,1.14462,1.14473
1636725300,1.14473,1.14473,1.14446,1.14454
1636725600,1.14453,1.14472,1.14416,1.14464
1636725900,1.14463,1.14488,1.14453,1.14466
1636726200,1.14466,1.14472,1.14396,1.14415
1636726500,1.14416,1.14462,1.14394,1.14435
1636726800,1.14433,1.14435,1.14387,1.14396
1636727100,1.14402,1.1444,1.14395,1.14407
1636727400,1.14408,1.14409,1.14325,1.14371
1636727700,1.14371,1.14399,1.14346,1.14361
1636728000,1.14363,1.14372,1.14347,1.14351
1636728300,1.1435,1.14391,1.14347,1.14389
1636728600,1.14387,1.14387,1.14359,1.14368
1636728900,1.1437,1.14403,1.14357,1.14363
1636729200,1.14364,1.14521,1.14364,1.1445
1636729500,1.14452,1.14488,1.1444,1.14479
1636729800,1.14477,1.14533,1.14465,1.14533
1636730100,1.14531,1.14617,1.14506,1.14596
1636730400,1.14596,1.14603,1.14512,1.14526
1636730700,1.14526,1.14532,1.14471,1.14503
1636731000,1.14501,1.14518,1.14455,1.14457
1636731300,1.14456,1.14466,1.14435,1.14435
1636731600,1.14435,1.14469,1.14418,1.14429
1636731900,1.14428,1.14473,1.14422,1.14428
1636732200,1.14427,1.14468,1.14409,1.14414
1636732500,1.14415,1.14457,1.14392,1.14438
1636732800,1.14436,1.14472,1.14416,1.14463
1636733100,1.14464,1.145,1.14463,1.14497
1636733400,1.145,1.14514,1.14427,1.14434
1636733700,1.14435,1.14445,1.14414,1.1444
1636734000,1.14438,1.14487,1.14433,1.14469
1636734300,1.14468,1.14501,1.14443,1.14493
1636734600,1.14492,1.14495,1.14431,1.1444
1636734900,1.1444,1.14506,1.14433,1.14498
1636735200,1.14497,1.1451,1.14464,1.14483
1636735500,1.14482,1.14489,1.14457,1.14466
1636735800,1.14465,1.14478,1.14433,1.14435
1636736100,1.14434,1.14439,1.14414,1.1442
1636736400,1.14421,1.14438,1.14413,1.14422
1636736700,1.14421,1.14427,1.14407,1.14417
1636737000,1.14417,1.14457,1.14417,1.14456
1636737300,1.14456,1.14469,1.14444,1.14452
1636737600,1.14451,1.1447,1.14443,1.14455
1636737900,1.14456,1.14462,1.14431,1.14438
1636738200,1.14437,1.14459,1.14435,1.14438
1636738500,1.14439,1.14482,1.14438,1.14469
1636738800,1.1447,1.14498,1.1447,1.14475
1636739100,1.14477,1.14499,1.14475,1.14499
1636739400,1.14497,1.14505,1.1447,1.14478
1636739700,1.14479,1.14498,1.14475,1.14488
1636740000,1.14487,1.14515,1.14479,1.14484
1636740300,1.14485,1.14495,1.14477,1.14485
1636740600,1.14486,1.14489,1.14475,1.14478
1636740900,1.1448,1.1448,1.14463,1.14472
1636741200,1.14471,1.14483,1.14469,1.14472
1636741500,1.14472,1.14484,1.14468,1.14478
1636741800,1.14477,1.14509,1.14472,1.14507
1636742100,1.1451,1.1451,1.14482,1.14482
1636742400,1.14481,1.14486,1.1447,1.14472
1636742700,1.14471,1.14474,1.14462,1.14463
1636743000,1.14466,1.14474,1.14462,1.14463
1636743300,1.14463,1.14473,1.14462,1.14468
1636743600,1.14466,1.14485,1.14463,1.14484
1636743900,1.14481,1.14486,1.14479,1.14484
1636744200,1.14483,1.14486,1.14478,1.14481
1636744500,1.14481,1.1449,1.14475,1.14479
1636744800,1.14482,1.14484,1.14468,1.14478
1636745100,1.14479,1.1448,1.14457,1.14457
1636745400,1.1446,1.1446,1.1443,1.14433
1636745700,1.14431,1.14434,1.14422,1.14427
1636746000,1.14427,1.14437,1.14422,1.14437
1636746300,1.14437,1.1444,1.14427,1.14437
1636746600,1.14437,1.14461,1.14437,1.14451
1636746900,1.14453,1.14462,1.14424,1.14428
1636747200,1.14427,1.14455,1.14427,1.14449
1636747500,1.14452,1.14455,1.14446,1.14455
1636747800,1.14454,1.14461,1.14442,1.14443
1636748100,1.14444,1.14444,1.14421,1.14427
1636748400,1.14428,1.14429,1.14419,1.14425
1636748700,1.14424,1.14436,1.14421,1.14434
1636749000,1.14434,1.14445,1.14422,1.14443
1636749300,1.14444,1.14445,1.14439,1.14443
1636749600,1.1444,1.14455,1.14426,1.14453
1636749900,1.14454,1.14454,1.14438,1.14438
1636750200,1.14438,1.14456,1.14438,1.1444
1636750500,1.14439,1.14466,1.14438,1.14459
1636750800,1.14459,1.14464,1.14418,1.14422
1636751100,1.14425,1.14433,1.14422,1.14431
1636751400,1.14433,1.14436,1.14428,1.14433
1636751700,1.14434,1.14438,1.14431,1.14435
1636752000,1.14433,1.14437,1.14425,1.14431
1636752300,1.14431,1.14433,1.14417,1.14417
1636752600,1.14417,1.14425,1.14416,1.1442
1636752900,1.1442,1.14424,1.14412,1.14419
1636753200,1.1442,1.14429,1.14415,1.14428
1636753500,1.14427,1.14429,1.14422,1.14422
1636927500,1.14447,1.14457,1.14424,1.14436
1636927800,1.14427,1.14438,1.14424,1.14438
1636928100,1.14443,1.14443,1.14443,1.14443
1636928400,1.14444,1.14444,1.14444,1.14444
1636928700,1.14439,1.14439,1.14439,1.14439
1636929000,1.14439,1.1444,1.14426,1.14428
1636929300,1.14427,1.14431,1.14427,1.14431
1636929600,1.14431,1.1444,1.14431,1.14431
1636929900,1.14431,1.14431,1.14429,1.14429
1636930200,1.14429,1.14429,1.14429,1.14429
1636930500,1.14426,1.14431,1.14426,1.14427
1636930800,1.14427,1.14438,1.14426,1.14433
1636931100,1.14433,1.14435,1.14433,1.14434
1636931400,1.14434,1.14443,1.1443,1.14431
1636931700,1.14431,1.14433,1.14417,1.14424
1636932000,1.14424,1.14424,1.14417,1.14422
1636932300,1.14424,1.14424,1.14418,1.14418
1636932600,1.14419,1.14424,1.14416,1.14424
1636932900,1.14422,1.14425,1.14422,1.14424
1636933200,1.14424,1.14427,1.14422,1.14426
1636933500,1.14427,1.14427,1.14415,1.14416
1636933800,1.14415,1.14418,1.14411,1.14412
1636934100,1.14411,1.14414,1.14408,1.14409
1636934400,1.14413,1.14437,1.14413,1.14431
1636934700,1.1443,1.14439,1.14424,1.14435
1636935000,1.14434,1.14435,1.14426,1.14435
1636935300,1.14438,1.14448,1.14433,1.14444
1636935600,1.14445,1.1445,1.14435,1.14445
1636935900,1.14444,1.14445,1.14428,1.14433
1636936200,1.14431,1.14435,1.14424,1.14435
1636936500,1.14434,1.14444,1.14433,1.14433
1636936800,1.14434,1.14457,1.14434,1.14454
1636937100,1.14453,1.14464,1.14448,1.1446
1636937400,1.14459,1.1446,1.1444,1.14448
1636937700,1.14449,1.14457,1.14443,1.14454
1636938000,1.14456,1.14459,1.1444,1.14444
1636938300,1.14445,1.14447,1.14426,1.14428
1636938600,1.1443,1.14433,1.14425,1.14429
1636938900,1.14429,1.14439,1.14422,1.14422
1636939200,1.14424,1.1445,1.14422,1.14449
1636939500,1.14448,1.1446,1.14448,1.1446
1636939800,1.14459,1.145,1.14459,1.14494
1636940100,1.14495,1.14536,1.14492,1.14529
1636940400,1.1453,1.14536,1.14527,1.14535
1636940700,1.14534,1.14556,1.14531,1.14548
1636941000,1.14547,1.1458,1.14539,1.14579
1636941300,1.1458,1.14596,1.14579,1.14594
1636941600,1.14596,1.14636,1.14593,1.14596
1636941900,1.14595,1.14598,1.14561,1.14561
1636942200,1.1456,1.1458,1.14551,1.14575
1636942500,1.14574,1.14584,1.14556,1.14557
1636942800,1.14556,1.14571,1.14551,1.14569
1636943100,1.14568,1.1457,1.14559,1.14568
1636943400,1.1457,1.14586,1.1456,1.14561
1636943700,1.1456,1.14563,1.14549,1.14554
1636944000,1.14552,1.14554,1.14548,1.14549
1636944300,1.14548,1.14576,1.14548,1.14576
1636944600,1.14575,1.14595,1.14573,1.14585
1636944900,1.14586,1.14596,1.14585,1.14594
1636945200,1.14593,1.14594,1.14576,1.14576
1636945500,1.14578,1.14598,1.14578,1.14584
1636945800,1.14585,1.14591,1.14576,1.14576
1636946100,1.14577,1.1458,1.14574,1.14575
1636946400,1.14574,1.14589,1.14574,1.14586
1636946700,1.14587,1.14588,1.1458,1.14587
1636947000,1.14586,1.146,1.14583,1.14598
1636947300,1.146,1.14611,1.14595,1.14598
1636947600,1.14596,1.14596,1.14575,1.14578
1636947900,1.14579,1.1458,1.14568,1.1457
1636948200,1.14568,1.14573,1.14566,1.14572
1636948500,1.14571,1.14575,1.14571,1.14575
1636948800,1.14574,1.14587,1.14571,1.14576
1636949100,1.14579,1.1458,1.14576,1.14576
1636949400,1.14575,1.14575,1.14568,1.14568
1636949700,1.14569,1.14569,1.14561,1.14562
1636950000,1.14563,1.14569,1.14561,1.14568
1636950300,1.14567,1.14582,1.14563,1.14582
1636950600,1.1458,1.14587,1.14573,1.14576
1636950900,1.14574,1.14587,1.14574,1.1458
1636951200,1.1458,1.14587,1.14575,1.14576
1636951500,1.14572,1.14572,1.14564,1.14571
1636951800,1.14572,1.14572,1.14562,1.14566
1636952100,1.14566,1.14571,1.14552,1.14552
1636952400,1.14553,1.14561,1.1455,1.14556
1636952700,1.14559,1.1457,1.14557,1.1457
1636953000,1.14568,1.1457,1.14558,1.14561
1636953300,1.14562,1.14566,1.14557,1.14561
1636953600,1.14562,1.14562,1.14551,1.14554
1636953900,1.14554,1.14563,1.14551,1.14563
1636954200,1.14562,1.14572,1.14551,1.14551
1636954500,1.14552,1.14561,1.14551,1.14555
1636954800,1.14557,1.14568,1.14549,1.14567
1636955100,1.14566,1.14597,1.14566,1.14596
1636955400,1.14596,1.14618,1.14596,1.14615
1636955700,1.14615,1.14627,1.14597,1.14597
1636956000,1.14598,1.14618,1.14597,1.14611
1636956300,1.1461,1.1461,1.146,1.146
1636956600,1.14598,1.14598,1.14572,1.14577
1636956900,1.14573,1.1458,1.14558,1.14565
1636957200,1.14566,1.14568,1.14554,1.1456
1636957500,1.14558,1.14563,1.14547,1.14563
1636957800,1.14562,1.14567,1.14547,1.14551
1636958100,1.14553,1.14556,1.14542,1.14545
1636958400,1.14547,1.14554,1.14532,1.14554
1636958700,1.14554,1.14569,1.14545,1.14567
1636959000,1.14566,1.14587,1.14563,1.14582
1636959300,1.1458,1.14589,1.14561,1.14584
1636959600,1.14576,1.14598,1.14575,1.14598
1636959900,1.14597,1.14609,1.14582,1.14597
1636960200,1.14596,1.14598,1.14545,1.14551
1636960500,1.1455,1.14554,1.14536,1.14544
1636960800,1.14545,1.1458,1.14545,1.14576
